family,conversation_id,peak_lfi,mean_lfi,cumulative_lfi,fragmentation_slope
Task_Decomposition,74,19,10.857142857142858,76,2.571428571428571
Task_Decomposition,68,13,7.428571428571429,52,0.39285714285714285
Task_Decomposition,72,19,7.571428571428571,53,1.8214285714285714
Task_Decomposition,69,46,24.714285714285715,173,4.67857142857143
Task_Decomposition,73,47,25.428571428571427,178,0.8928571428571429
Task_Decomposition,70,22,11.714285714285714,82,2.321428571428571
Task_Decomposition,75,12,8.142857142857142,57,0.6071428571428571
Task_Decomposition,76,43,19.0,133,1.3214285714285714
Task_Decomposition,78,24,12.428571428571429,87,2.035714285714285
Task_Decomposition,80,36,20.428571428571427,143,3.8571428571428563
Task_Decomposition,77,46,17.142857142857142,120,3.2142857142857144
Task_Decomposition,79,52,28.714285714285715,201,1.607142857142857
Task_Decomposition,82,30,18.142857142857142,127,2.285714285714285
Task_Decomposition,81,32,18.714285714285715,131,4.035714285714286
Task_Decomposition,85,23,10.714285714285714,75,1.5
Task_Decomposition,86,14,5.714285714285714,40,-0.0714285714285714
Task_Decomposition,84,17,10.0,70,1.857142857142857
Task_Decomposition,83,25,9.428571428571429,66,2.5357142857142856
Task_Decomposition,89,12,8.571428571428571,60,0.10714285714285714
Task_Decomposition,87,15,11.0,77,1.5714285714285714
Task_Decomposition,88,16,8.428571428571429,59,0.17857142857142863
Task_Decomposition,90,10,7.142857142857143,50,0.5
Task_Decomposition,91,21,13.571428571428571,95,0.9285714285714288
Task_Decomposition,92,18,11.714285714285714,82,1.6785714285714284
Task_Decomposition,95,18,9.428571428571429,66,0.21428571428571422
Task_Decomposition,97,8,5.142857142857143,36,-0.03571428571428571
Task_Decomposition,96,20,10.714285714285714,75,0.7857142857142857
Task_Decomposition,93,10,6.0,42,-0.5
Task_Decomposition,98,13,8.571428571428571,60,1.0
Task_Decomposition,94,34,16.714285714285715,117,1.9285714285714284
Task_Decomposition,99,14,8.428571428571429,59,0.21428571428571433
Task_Decomposition,101,23,11.571428571428571,81,1.0
Task_Decomposition,100,34,22.571428571428573,158,0.3214285714285714
Task_Decomposition,103,47,19.857142857142858,139,3.6071428571428563
Task_Decomposition,104,15,8.428571428571429,59,0.21428571428571427
Task_Decomposition,102,53,26.285714285714285,184,0.285714285714286
Task_Decomposition,105,14,9.857142857142858,69,0.6785714285714285
Task_Decomposition,106,52,34.714285714285715,243,0.25
Task_Decomposition,107,45,20.571428571428573,144,0.8571428571428572
Task_Decomposition,113,6,2.2857142857142856,16,-0.21428571428571427
Task_Decomposition,108,24,16.571428571428573,116,2.357142857142857
Task_Decomposition,110,12,6.0,42,1.0357142857142856
Task_Decomposition,109,16,9.714285714285714,68,0.4285714285714286
Task_Decomposition,112,24,17.285714285714285,121,1.25
Task_Decomposition,111,18,12.857142857142858,90,0.9285714285714285
Task_Decomposition,114,26,14.428571428571429,101,2.428571428571428
Task_Decomposition,115,13,6.285714285714286,44,0.3928571428571427
Task_Decomposition,117,12,8.428571428571429,59,0.14285714285714285
Task_Decomposition,116,24,15.142857142857142,106,1.5357142857142856
Task_Decomposition,120,16,9.428571428571429,66,0.5
Task_Decomposition,119,20,14.857142857142858,104,1.2142857142857142
Task_Decomposition,118,10,6.857142857142857,48,0.07142857142857142
Task_Decomposition,121,14,7.0,49,0.6428571428571428
Task_Decomposition,122,37,20.428571428571427,143,1.5357142857142856
Task_Decomposition,123,18,10.428571428571429,73,2.035714285714285
Task_Decomposition,124,12,10.0,70,0.7857142857142857
Task_Decomposition,125,14,8.857142857142858,62,0.8571428571428571
Task_Decomposition,129,19,8.428571428571429,59,1.0
Task_Decomposition,126,14,7.0,49,0.10714285714285714
Task_Decomposition,130,14,9.571428571428571,67,1.4285714285714288
Task_Decomposition,128,13,7.142857142857143,50,-0.28571428571428564
Task_Decomposition,131,6,4.714285714285714,33,0.10714285714285714
Task_Decomposition,127,27,13.428571428571429,94,-0.7142857142857142
Task_Decomposition,133,18,10.142857142857142,71,1.8214285714285714
Task_Decomposition,132,13,6.714285714285714,47,0.6428571428571428
Task_Decomposition,134,15,10.714285714285714,75,0.9285714285714283
Task_Decomposition,135,21,11.714285714285714,82,1.607142857142857
Task_Decomposition,138,6,5.142857142857143,36,-0.25
Task_Decomposition,136,22,14.285714285714286,100,1.25
Task_Decomposition,137,10,6.285714285714286,44,0.10714285714285714
Task_Decomposition,140,10,7.0,49,0.2857142857142857
Task_Decomposition,139,13,7.285714285714286,51,0.6785714285714285
Task_Decomposition,141,20,9.714285714285714,68,0.964285714285714
Task_Decomposition,142,28,13.142857142857142,92,1.4285714285714284
